,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Batagay,67.6333,134.6333,-15.17,83,100,2.49,RU,1635735176
283,Adrar,20.5022,-10.0711,27.78,22,69,3.63,MR,1635735176
284,Saint Paul Harbor,57.79,-152.4072,5.63,90,100,2.12,US,1635734899
285,Qui Nhon,13.7667,109.2333,27.5,79,91,3.89,VN,1635735177
286,Tanout,14.9709,8.8879,25.73,20,74,4.74,NE,1635735178
287,Niamey,13.5137,2.1098,27.16,28,0,0.51,NE,1635735178
288,Guaraniaçu,-25.1008,-52.8781,14.79,98,3,1.4,BR,1635735178
289,Normandin,48.8333,-72.5321,8.79,93,100,3.6,CA,1635735179
290,Abu Kamal,34.4506,40.9171,20.95,59,99,6.36,SY,1635735179
291,Lianzhou,24.7811,112.3825,17.41,94,100,1.46,CN,1635735179
292,Honningsvåg,70.9821,25.9704,1.94,86,73,7.51,NO,1635735180
293,Dakar,14.6937,-17.4441,26.49,77,99,7.37,SN,1635735111
294,Maków Mazowiecki,52.8649,21.1005,8.9,69,0,4.69,PL,1635735180
295,Sakakah,29.9697,40.2064,21.76,35,100,4.64,SA,1635735181
296,Bambous Virieux,-20.3428,57.7575,24.01,94,40,2.57,MU,1635735181
297,Kirovskiy,45.0917,133.5136,8.17,52,25,1.28,RU,1635735181
298,North Platte,41.1239,-100.7654,0.94,93,90,0.0,US,1635735182
299,Pedra Azul,-16.0053,-41.2972,18.42,95,47,2.13,BR,1635735128
300,Labuan,5.2767,115.2417,31.09,70,20,0.89,MY,1635735182
301,Tahe,52.3333,124.7333,3.62,28,60,1.37,CN,1635735183
302,Kruisfontein,-34.0033,24.7314,16.05,88,100,7.95,ZA,1635735183
303,Yulara,-25.2406,130.9889,26.91,44,0,3.09,AU,1635735184
304,Kamenka,51.3223,42.7678,3.75,67,0,2.33,RU,1635735184
305,Bafra,41.5678,35.9069,14.34,75,100,3.13,TR,1635735184
306,Nemuro,43.3236,145.575,13.24,76,29,6.56,JP,1635735185
307,Faanui,-16.4833,-151.75,26.07,74,72,7.45,PF,1635734933
308,Mazyr,52.0495,29.2456,2.8,76,0,3.06,BY,1635735185
309,Codrington,-38.2667,141.9667,17.56,66,0,4.89,AU,1635735185
310,Sioux Lookout,50.1001,-91.917,1.04,93,75,3.09,CA,1635735186
311,Colares,38.7992,-9.4469,19.82,87,94,2.68,PT,1635735186
312,Alekseyevsk,57.8406,108.3492,1.01,72,100,1.68,RU,1635735186
313,Jiaozuo,35.2397,113.2331,15.45,57,100,2.82,CN,1635735187
314,Vardø,70.3705,31.1107,2.88,76,98,8.27,NO,1635735187
315,Clyde River,70.4692,-68.5914,-6.57,88,100,3.19,CA,1635735187
316,Mtambile,-5.3833,39.7,24.7,86,9,4.25,TZ,1635735188
317,Husavik,66.0449,-17.3389,0.95,99,100,8.64,IS,1635735188
318,Abu Dhabi,24.4667,54.3667,27.01,89,0,0.0,AE,1635735154
319,Yabassi,4.457,9.9682,22.94,99,94,0.33,CM,1635735189
320,Oddur,4.1213,43.8894,21.51,81,2,6.01,SO,1635735189
321,Remontnoye,46.5614,43.6501,6.23,85,99,5.57,RU,1635735190
322,Sistranda,63.7256,8.834,9.39,69,100,15.03,NO,1635735190
323,Akdepe,42.0551,59.3788,1.05,43,0,2.95,TM,1635735190
324,Leshukonskoye,64.8989,45.7622,-6.78,94,92,2.64,RU,1635735191
325,Loa Janan,-0.583,117.095,32.58,54,77,1.78,ID,1635735191
326,Sibolga,1.7427,98.7792,27.75,74,100,0.68,ID,1635735026
327,Hobyo,5.3505,48.5268,26.64,71,4,5.19,SO,1635735191
328,Banfora,10.6333,-4.7667,25.07,61,42,1.39,BF,1635735192
329,St. George's,12.0564,-61.7485,25.82,89,40,2.57,GD,1635735192
330,Sobolevo,54.4299,31.8996,2.46,85,0,3.21,RU,1635735193
331,Marrakesh,31.6315,-8.0083,17.04,72,9,2.57,MA,1635735175
332,Bolshaya Martynovka,47.271,41.6679,5.8,92,6,4.06,RU,1635735193
333,Boa Vista,2.8197,-60.6733,27.99,78,40,2.57,BR,1635735193
334,La Asuncion,11.0333,-63.8628,26.85,89,79,4.63,VE,1635735194
335,Tingo María,-9.2895,-76.0088,22.01,88,50,0.7,PE,1635735194
336,Radeberg,51.1167,13.9167,9.92,82,0,6.69,DE,1635735194
337,Yatou,37.15,122.3833,13.12,53,0,6.99,CN,1635735195
338,Boddam,57.4667,-1.7833,6.88,83,17,6.64,GB,1635735195
339,Kollam,8.8833,76.6,25.93,85,100,1.87,IN,1635735195
340,Saint-Ambroise,48.5501,-71.3324,10.3,93,100,3.09,CA,1635735196
341,Atasū,48.6814,71.6433,3.86,78,100,6.57,KZ,1635735196
342,Flin Flon,54.7682,-101.865,-1.09,93,99,3.01,CA,1635735196
343,Qandala,11.472,49.8728,25.88,77,88,3.72,SO,1635735197
344,Impfondo,1.6381,18.0667,21.28,99,100,1.34,CG,1635735197
345,Taguisa,6.6983,124.0358,29.29,71,69,3.61,PH,1635735197
346,Talara,-4.5772,-81.2719,18.46,83,8,5.4,PE,1635735198
347,San Patricio,28.017,-97.5169,24.34,61,0,3.58,US,1635735198
348,Gorontalo,0.5412,123.0595,31.97,58,40,1.64,ID,1635735198
349,Plettenberg Bay,-34.0527,23.3716,16.62,89,86,5.33,ZA,1635735199
350,Barcelos,41.5388,-8.6151,14.08,90,100,2.7,PT,1635735199
351,Sinnamary,5.3833,-52.95,25.96,84,72,3.52,GF,1635735200
352,Port Elizabeth,-33.918,25.5701,17.28,94,40,6.17,ZA,1635735200
353,Departamento de Maldonado,-34.6667,-54.9167,16.66,96,100,2.61,UY,1635735200
354,Babylon,40.6957,-73.3257,15.68,71,2,1.79,US,1635735201
355,Progreso,21.2833,-89.6667,23.2,64,6,4.36,MX,1635735201
356,Kindu,-2.95,25.95,20.47,100,100,1.26,CD,1635735201
357,Alice Springs,-23.7,133.8833,26.75,47,40,3.09,AU,1635735202
358,Fuglebjerg,55.306,11.5477,12.51,81,100,8.11,DK,1635735202
359,Caldwell,43.6629,-116.6874,11.62,78,1,1.54,US,1635735202
360,Luxeuil-les-Bains,47.8171,6.365,10.73,93,100,1.03,FR,1635735203
361,Tokur,53.1333,132.9,-3.53,54,22,1.53,RU,1635735203
362,Kiryat Gat,31.61,34.7642,23.23,47,100,2.92,IL,1635735194
363,Ketchikan,55.3422,-131.6461,4.26,81,1,0.0,US,1635734951
364,Cascais,38.6979,-9.4215,19.92,85,96,2.68,PT,1635735203
365,Qingdao,36.0986,120.3719,12.78,62,0,6.0,CN,1635735204
366,Pogradec,40.9025,20.6525,7.31,79,1,1.31,AL,1635735204
367,Buraidah,26.326,43.975,19.25,29,10,3.53,SA,1635735204
368,Ugoofaaru,5.6667,73.0,27.63,76,96,7.04,MV,1635735205
369,Ishigaki,24.3448,124.1572,26.07,73,75,5.66,JP,1635735205
370,Našice,45.4886,18.0878,5.42,95,0,1.79,HR,1635735206
371,Bathsheba,13.2167,-59.5167,25.34,83,75,4.63,BB,1635735206
372,Bemidji,47.4736,-94.8803,1.62,73,90,4.63,US,1635735206
373,Gushikawa,26.3544,127.8686,28.77,68,75,4.12,JP,1635734957
374,Petropavlovsk-Kamchatskiy,53.0452,158.6483,2.33,41,20,7.0,RU,1635735207
375,Nynäshamn,58.9034,17.9479,9.5,96,100,6.63,SE,1635735207
376,Katobu,-4.9408,122.5276,32.83,52,11,0.34,ID,1635735207
377,Sørland,67.667,12.6934,8.5,86,55,7.78,NO,1635735208
378,Puerto Baquerizo Moreno,-0.9,-89.6,20.53,89,26,3.87,EC,1635735160
379,Biak,-0.9131,122.8766,29.23,65,22,0.78,ID,1635735208
380,Deputatsky,69.3,139.9,-15.4,74,100,0.47,RU,1635735015
381,Mar del Plata,-38.0023,-57.5575,12.83,91,90,4.47,AR,1635735209
382,Lavrentiya,65.5833,-171.0,-10.76,78,100,4.22,RU,1635735209
383,Skibbereen,51.55,-9.2667,5.89,74,7,8.27,IE,1635735209
384,Gilgit,35.9221,74.3087,11.29,35,100,1.98,PK,1635735210
385,Falkenstein,50.4779,12.3713,9.72,75,43,10.73,DE,1635735210
386,Saint George,37.1041,-113.5841,20.33,44,1,0.89,US,1635735061
387,Makakilo City,21.3469,-158.0858,27.38,64,1,3.09,US,1635734997
388,Shatsk,54.0258,41.7119,3.67,85,7,3.5,RU,1635735211
389,Bari Sādri,24.4167,74.4667,14.19,42,0,1.75,IN,1635735211
390,Muisne,0.6,-80.0333,24.4,80,85,2.3,EC,1635735211
391,Bambanglipuro,-7.95,110.2833,27.92,77,100,2.58,ID,1635735207
392,Matagami,49.7502,-77.6328,4.06,100,90,4.12,CA,1635735212
393,Khandyga,62.6667,135.6,-11.45,93,100,2.16,RU,1635735212
394,Bud,39.447,-86.1758,9.02,88,0,4.11,US,1635735212
395,Los Llanos de Aridane,28.6585,-17.9182,20.62,30,0,2.68,ES,1635735213
396,Pemba,-12.974,40.5178,24.39,94,20,4.47,MZ,1635735213
397,Chake Chake,-5.2459,39.7666,23.74,90,18,3.37,TZ,1635735213
398,Portland,45.5234,-122.6762,13.32,46,20,1.34,US,1635734978
399,Hasaki,35.7333,140.8333,20.16,69,100,2.15,JP,1635735214
400,Zhuanghe,39.7008,122.9911,10.22,39,0,3.75,CN,1635735214
401,Riyadh,24.6877,46.7219,18.08,29,0,1.39,SA,1635735200
402,Saint Anthony,45.0205,-93.218,4.47,67,7,0.45,US,1635735215
403,Porto Seguro,-16.4497,-39.0647,25.29,83,40,5.14,BR,1635735215
404,Vila Velha,-20.3297,-40.2925,20.97,100,90,2.06,BR,1635734989
405,Zmeinogorsk,51.1567,82.195,-2.72,86,100,6.64,RU,1635735215
406,Grand-Santi,4.25,-54.3833,22.33,99,66,0.79,GF,1635735216
407,Muros,42.7762,-9.0603,15.47,95,46,4.26,ES,1635735216
408,Solnechnyy,50.7214,136.6319,2.53,46,2,2.49,RU,1635735217
409,Mulegé,26.8833,-111.9833,23.72,56,100,0.84,MX,1635735217
410,Chiang Khong,20.2613,100.4046,26.18,82,79,0.47,TH,1635735217
411,Kilindoni,-7.9139,39.6668,26.8,75,89,3.82,TZ,1635735218
412,Sicamous,50.8331,-118.9856,1.17,50,0,1.79,CA,1635734991
413,Manta,-0.95,-80.7333,22.88,88,90,3.09,EC,1635735083
414,Rio Rancho,35.2334,-106.6645,16.86,37,100,1.79,US,1635735057
415,Port Moresby,-9.4431,147.1797,31.68,66,40,2.57,PG,1635734958
416,Murgab,37.4966,61.9714,3.93,81,0,2.06,TM,1635735219
417,Tabou,4.423,-7.3528,24.81,88,90,3.0,CI,1635735219
418,Suez,29.9737,32.5263,23.59,53,100,1.72,EG,1635735219
419,Gizo Government Station,-8.103,156.8419,28.32,75,100,3.79,SB,1635735220
420,Nishihara,26.1842,127.7558,28.81,72,40,5.14,JP,1635735220
421,Valday,57.9747,33.2525,4.82,87,43,3.15,RU,1635735220
422,Rawson,-43.3002,-65.1023,8.98,76,46,6.41,AR,1635735052
423,Chongqing,29.5628,106.5528,17.83,97,90,2.0,CN,1635735221
424,Terrace,54.5163,-128.6035,5.24,60,1,10.29,CA,1635735221
425,Nelson Bay,-32.7167,152.15,24.6,56,100,0.89,AU,1635735222
426,Peachtree City,33.3968,-84.5958,12.32,93,1,2.06,US,1635735222
427,Pampierstad,-27.7832,24.6877,17.97,30,3,3.22,ZA,1635735222
428,Virginia Beach,36.8529,-75.978,17.23,85,1,3.09,US,1635735050
429,Lae,-6.7221,146.9847,26.37,64,97,4.39,PG,1635735223
430,Longyearbyen,78.2186,15.6401,-2.96,90,100,2.67,SJ,1635735223
431,Caravelas,-17.7125,-39.2481,23.56,82,57,3.11,BR,1635735223
432,Mildura,-34.2,142.15,27.82,12,99,2.06,AU,1635735365
433,Nantucket,41.2835,-70.0995,15.61,90,16,8.54,US,1635735224
434,Celestún,20.8667,-90.4,23.16,65,7,4.82,MX,1635735224
435,Distrikt Brokopondo,4.75,-55.1667,24.46,91,92,3.49,SR,1635735224
436,Havøysund,70.9963,24.6622,3.49,81,93,8.65,NO,1635735225
437,San Rafael,-34.6177,-68.3301,9.18,70,100,0.85,AR,1635735225
438,Conde,-7.2597,-34.9075,25.7,83,20,2.57,BR,1635735226
439,Puerto Ayora,-0.7393,-90.3518,20.6,91,41,2.95,EC,1635735226
440,Idrinskoye,54.3708,92.1358,1.44,56,100,7.92,RU,1635735226
441,Garoowe,8.4054,48.4845,21.94,74,81,3.09,SO,1635735227
442,Gelibolu,40.4103,26.6708,13.22,90,100,3.01,TR,1635735227
443,Tiznit Province,29.5833,-9.5,16.3,42,0,0.4,MA,1635735227
444,Ahipara,-35.1667,173.1667,16.41,61,50,6.34,NZ,1635735010
445,Vila,42.0304,-8.1588,7.96,95,94,1.61,PT,1635735228
446,Buneşti,46.8333,27.9667,5.29,91,0,2.03,RO,1635735228
447,Ville-Marie,47.3335,-79.433,4.0,95,100,6.21,CA,1635735228
448,Salinópolis,-0.6136,-47.3561,26.32,85,53,4.84,BR,1635735128
449,Vao,-22.6667,167.4833,22.15,78,22,9.0,NC,1635735229
450,Cayenne,4.9333,-52.3333,27.83,83,20,1.34,GF,1635735229
451,Kondinskoye,59.6481,67.41,-7.3,94,100,5.7,RU,1635735229
452,Avilés,43.5547,-5.9248,14.29,71,20,8.23,ES,1635735230
453,La Unión,-5.4,-80.75,20.54,62,56,5.96,PE,1635735230
454,Broken Hill,-31.95,141.4333,25.84,11,41,5.14,AU,1635735230
455,Novorzhev,57.0294,29.3338,5.67,84,29,2.64,RU,1635735231
456,Nanortalik,60.1432,-45.2371,0.9,67,70,4.25,GL,1635734965
457,Laredo,27.5064,-99.5075,26.16,53,1,8.23,US,1635735054
458,Lumeje,-11.55,20.7833,18.46,94,100,1.63,AO,1635735231
459,Ha Giang,22.8333,104.9833,20.92,99,100,0.56,VN,1635735232
460,Bien Hoa,10.95,106.8167,29.99,70,54,2.1,VN,1635735232
461,Ţaga,46.95,24.05,0.05,84,0,1.34,RO,1635735232
462,Părteştii de Jos,47.6333,25.9667,3.91,86,0,1.83,RO,1635735233
463,Oyama,36.3,139.8,21.13,55,100,1.46,JP,1635735233
464,Balikpapan,-1.2675,116.8289,29.55,84,20,1.54,ID,1635735233
465,Asău,46.4333,26.4,5.51,90,0,1.92,RO,1635735234
466,Athol,42.5959,-72.2268,13.01,83,81,0.45,US,1635735234
467,Atambua,-9.1061,124.8925,30.57,52,76,1.77,ID,1635735234
468,Sumbe,-11.2061,13.8437,23.14,90,100,1.45,AO,1635735235
469,Yarke Pole,45.608,34.3172,8.41,88,62,1.97,UA,1635735235
470,Acarí,-15.4311,-74.6158,19.9,72,63,1.18,PE,1635735236
471,Rexburg,43.826,-111.7897,7.59,56,79,2.63,US,1635735236
472,Sæby,57.3319,10.5225,12.96,90,100,10.09,DK,1635735236
473,Bossangoa,6.4926,17.4552,21.55,91,99,2.1,CF,1635735236
474,Hofn,64.2539,-15.2082,4.21,60,99,12.92,IS,1635735237
475,Ilhéus,-14.7889,-39.0494,22.73,90,51,1.38,BR,1635735067
476,Santa Rosa de Osos,6.6474,-75.4603,11.41,97,100,0.7,CO,1635735237
477,Abu Samrah,35.3029,37.1841,18.23,60,20,3.96,SY,1635735238
478,Healdsburg,38.6105,-122.8692,15.13,84,90,0.0,US,1635735079
479,Byron Bay,-28.65,153.6167,23.97,52,100,2.99,AU,1635735238
480,Luanda,-8.8368,13.2343,24.0,83,75,2.57,AO,1635734962
481,Roebourne,-20.7833,117.1333,27.06,48,0,6.75,AU,1635735239
482,Lachhmangarh,27.8214,75.0251,22.7,26,0,4.01,IN,1635735239
483,Ararat,39.8317,44.7049,9.19,77,98,1.0,AM,1635735239
484,Nerja,36.7585,-3.8873,21.35,76,99,3.92,ES,1635735240
485,Vengerovo,55.6848,76.7471,-4.71,94,100,4.2,RU,1635735240
486,Mt. Pleasant,32.7941,-79.8626,15.56,93,1,0.0,US,1635735069
487,Chernyshevskiy,63.0128,112.4714,-8.9,85,89,1.98,RU,1635735240
488,Maniwaki,46.3834,-75.966,8.3,93,100,2.06,CA,1635735241
489,Sechura,-5.5569,-80.8222,19.36,71,42,5.54,PE,1635735241
490,Yinchuan,38.4681,106.2731,9.11,37,100,1.52,CN,1635735242
491,San Ramon,37.7799,-121.978,15.67,80,1,2.57,US,1635735048
492,Palmer,42.1584,-72.3287,13.33,86,20,1.54,US,1635735243
493,Kayes,14.0,-11.0,27.57,45,17,1.48,ML,1635735243
494,Aksarka,66.5606,67.7975,-18.54,91,89,1.3,RU,1635735243
495,Zliten,32.4674,14.5687,23.16,43,69,4.93,LY,1635735244
496,Andreapol',56.6513,32.2664,2.99,87,9,2.48,RU,1635735244
497,Gayny,60.3071,54.3241,2.51,98,100,2.33,RU,1635735244
498,Aksu,41.1231,80.2644,8.89,27,0,1.16,CN,1635735245
499,Vizinga,61.0749,50.1031,2.95,99,100,1.02,RU,1635735245
500,Yangambi,0.8102,24.4336,20.32,100,100,1.07,CD,1635735245
501,Itoman,26.1247,127.6694,29.21,69,20,7.2,JP,1635735246
502,Dengzhou,37.8086,120.7508,12.2,56,1,7.25,CN,1635735246
503,Wynyard,-41.0,145.7167,18.31,54,58,5.1,AU,1635735246
504,Keti Bandar,24.1447,67.4497,26.87,62,1,6.11,PK,1635735247
505,Simões,-7.5989,-40.8178,26.03,45,74,1.97,BR,1635735247
506,Cam Ranh,11.9214,109.1591,27.98,74,40,2.57,VN,1635735247
507,Bilma,18.6853,12.9164,24.38,23,6,6.31,NE,1635735248
508,Anagé,-14.6122,-41.1356,21.4,80,21,1.54,BR,1635735248
509,San Miguel de Tucumán,-26.8241,-65.2226,21.0,94,90,3.09,AR,1635735248
510,Searcy,35.2506,-91.7363,14.73,73,1,0.45,US,1635735249
511,Danané,7.2596,-8.155,19.98,99,96,0.25,CI,1635735249
512,Serebryansk,49.6925,83.2892,-1.25,87,100,1.69,KZ,1635735249
513,Kangalassy,62.3464,129.9628,-10.04,90,100,3.01,RU,1635735250
514,Pierre,44.3683,-100.351,2.81,67,8,2.24,US,1635735250
515,Campina Verde,-19.5356,-49.4864,18.84,96,31,1.76,BR,1635735187
516,Nadvoitsy,63.8667,34.3167,5.07,98,100,2.53,RU,1635735251
517,Valle de Allende,26.9333,-105.4,20.24,31,98,1.0,MX,1635735251
518,Collie,-33.3667,116.15,13.88,52,24,6.27,AU,1635734959
519,Hailar,49.2,119.7,2.84,35,6,5.3,CN,1635735251
520,Druzhba,52.0428,33.9453,3.22,71,0,2.94,UA,1635735252
521,Talaya,61.3833,152.75,-21.14,92,54,0.43,RU,1635735252
522,Bucerías,20.75,-105.3333,24.72,85,0,0.97,MX,1635735143
523,Aleksandrov Gay,50.147,48.5704,5.11,64,0,3.35,RU,1635735253
524,Rome,43.2128,-75.4557,12.13,85,50,0.45,US,1635735253
525,Hope,33.6671,-93.5916,18.03,64,0,2.14,US,1635735005
526,Kropotkin,45.4375,40.5756,8.05,92,97,3.76,RU,1635735253
527,Pallasovka,50.05,46.8833,4.52,58,0,2.95,RU,1635735254
528,Nizhniy Kuranakh,58.8353,125.4869,-0.41,78,80,1.01,RU,1635735254
529,Sāveh,35.0213,50.3566,16.43,49,60,0.26,IR,1635735254
530,Chernyanka,50.9409,37.8069,3.25,74,0,2.08,RU,1635735255
531,Pouébo,-20.4,164.5667,26.87,51,15,0.54,NC,1635735255
532,Karratha,-20.7377,116.8463,26.49,50,7,6.36,AU,1635735255
533,Ixtapa,20.7,-105.2,23.25,94,7,0.86,MX,1635735256
534,Leh,34.1667,77.5833,-3.29,52,100,0.86,IN,1635735256
535,Mount Gambier,-37.8333,140.7667,19.95,37,3,3.09,AU,1635735256
536,Karpathos,35.507,27.2132,16.98,88,100,7.72,GR,1635735257
537,Muroto-misakicho,33.2833,134.15,22.02,63,51,1.48,JP,1635735257
538,Carman,49.4992,-98.0016,2.51,69,73,4.12,CA,1635735257
539,Raymondville,26.4815,-97.7831,25.21,62,1,4.33,US,1635735258
540,Pemangkat,1.1667,108.9667,29.78,66,79,1.81,ID,1635735258
541,Adré,13.4667,22.2,24.99,24,41,5.24,TD,1635735258
542,Stromness,58.965,-3.296,10.14,89,28,4.02,GB,1635735259
543,Itarema,-2.9248,-39.9167,26.77,77,32,5.98,BR,1635735259
544,High Level,58.5169,-117.136,-0.94,74,20,2.06,CA,1635735260
545,Pokaran,26.9167,71.9167,24.85,29,0,5.39,IN,1635735260
546,Dhidhdhoo,6.8833,73.1,27.71,76,100,6.13,MV,1635735260
547,Michigan City,41.7075,-86.895,9.44,55,90,4.12,US,1635735261
548,Tabuk,17.4189,121.4443,27.42,71,69,2.31,PH,1635735261
549,Reconquista,-29.15,-59.65,27.51,44,95,4.27,AR,1635735012
550,Okha,53.5739,142.9478,0.36,55,20,4.89,RU,1635735262
551,Linxia Chengguanzhen,35.6003,103.2064,5.35,80,93,1.05,CN,1635735262
552,Gölköy,40.6875,37.6178,10.53,79,81,3.6,TR,1635735262
553,Lublin Voivodeship,51.0,23.0,2.35,87,0,4.38,PL,1635735263
554,Tual,-5.6667,132.75,28.72,72,86,3.0,ID,1635735263
555,Danville,36.586,-79.395,12.36,77,0,1.79,US,1635735263
556,Nakhon Thai,17.1006,100.8374,27.55,80,100,1.56,TH,1635735264
557,Sur,22.5667,59.5289,27.98,55,0,4.34,OM,1635735264
558,Wajima,37.4,136.9,17.38,94,75,1.54,JP,1635735264
559,Baruun-Urt,46.6806,113.2792,1.92,32,11,6.63,MN,1635735264
560,Norton,-17.8833,30.7,19.6,54,15,3.2,ZW,1635735265
561,San Policarpo,12.1791,125.5072,28.27,77,58,6.75,PH,1635735265
562,Benguela,-12.5763,13.4055,22.61,80,82,1.32,AO,1635735266
563,Buguruslan,53.6554,52.442,4.46,87,22,3.93,RU,1635735266
